source,total_edges,missing_edges,missing_pct
.github/workflows/ci.yml,2,2,100.0
Dockerfile.api,2,1,50.0
Dockerfile.app,2,1,50.0
Dockerfile.test,10,5,50.0
R/async_fits.R,1,0,0.0
R/auth_safe_upgrade.R,2,0,0.0
R/backend_bayes.R,4,1,25.0
R/job_queue.R,2,0,0.0
R/modules/mod_job_monitor.R,1,0,0.0
R/optimize_regimen.R,2,2,100.0
R/pta_cfr.R,2,1,50.0
R/run_fit_jags.R,1,0,0.0
TEST_STRATEGY.md,4,0,0.0
api/plumber.R,2,0,0.0
api/plumber_auth.R,4,0,0.0
app.R,1,0,0.0
docker-compose.test.yml,1,1,100.0
docs/INDEX.md,5,0,0.0
docs/MIGRATION_GUIDE_PARALLELIZATION.md,4,0,0.0
docs/MONITORING_GUIDE.md,4,0,0.0
docs/PACKAGE_MANAGEMENT_MIGRATION.md,4,0,0.0
examples/optimization_example.R,3,0,0.0
examples/parallel_usage_example.R,6,1,16.7
scripts/security_migration.R,2,0,0.0
tests/performance/benchmark.R,3,2,66.7
tests/performance/benchmark_parallelization.R,4,0,0.0
tests/performance/ode_benchmark.R,1,0,0.0
tests/testthat.R,2,1,50.0
tests/testthat/helper-common.R,1,1,100.0
tests/testthat/test-audit-no-silent.R,3,0,0.0
tests/testthat/test-cache-manager.R,2,0,0.0
tests/testthat/test-computation-stability.R,3,0,0.0
tests/testthat/test-db-error-handling.R,5,5,100.0
tests/testthat/test-error-handling-integration.R,2,2,100.0
tests/testthat/test-fhir-resilience.R,4,0,0.0
tests/testthat/test-memory_optimization.R,2,0,0.0
tests/testthat/test-parallelization.R,4,0,0.0
tests/testthat/test-safe-io.R,2,0,0.0
tests/testthat/test-utils.R,1,1,100.0
tests/testthat/test-vectorized-functions.R,4,0,0.0
